Restaurant,https://www.tripadvisor.com/ShowUserReviewsg552140d7687889r459816131BerwickIndianTheCourthouseBerwickGreaterMelbourneVictoria.html,Date of visit: February 2017, Berwick Indian @ The Courthouse ,South Pacific,Australia,Victoria,"Melbourne, Australia",Racial abuse repeatedly,"On Feb 14th for the Valentine's day couple of us with our partners and kids totally 8 of ushad visited had made a booking for 8pm dinner.Inspite of us reaching there at 8pm we were made to wait till past 9.30pm. The 4 kids aged between 27yrs were restless and starving.When the service person brought the food we politely mentioned about the wait and she apologised. As we were having our this Senior Lasy with a North Indian background comes to our table and enquires, what was the issue When we politely mentioned it she started an arguement saying ""it's way all Indian restaurants work here"" instead of having any minimal regrets for the delay they have occured in seerving the food. No sooner she starts a rude talk with verbal abuse with racial comments adding up""You bloody Indians"" repeatedly in front of other customers.We were all upset a felt to leave the premises without finishing our food. I have lived than 13yrs in Australia and this is the first time I have seen such a terrible service to customers and a racial abuse from a lady who herself is from a Indian background. I wouldn't advise any of my friends to visit this restaurant,only just because of the way this restaurant treats customers."
Restaurant,https://www.tripadvisor.com/ShowUserReviewsg552140d7687889r459608927BerwickIndianTheCourthouseBerwickGreaterMelbourneVictoria.html,Date of visit: February 2017, Berwick Indian @ The Courthouse ,South Pacific,Australia,Victoria,"Narre Warren, Australia",Valentine's Day abuse,"Initially we didn't know about the restaurant yet myself and my friend with our partners decided to go for the valentines dinner to this place and booked it for 8pm.Initially there was a long waiting period for more than 1.5 hrs we all waited patiently till the food came at around 9.45pm.When the service person came we politely told her the wait was too much.she apologised and went in to the kitchen.Soon after this short senior lady with Indian background supposed to be owner comes to our table and asks us what was the problem. When we again politely told about the wait time. Initially she argued in a rude way telling ""all Indian restaurants are worst than this"" and She repeatedly started a racially abusing us using the term ""you bloody Indians"" more than twice.Thus embarrassing us in front of the locals.We couldn't finish our dinner and had to leave paying for the expensive dinner.We have lived in Australia for more than 13 yrs and this is the first time We have suffered a racial abuse by another person who her self seem to be of Indian background.Very very rude and worst service."
Restaurant,https://www.tripadvisor.com/ShowUserReviewsg552140d7687889r447734584BerwickIndianTheCourthouseBerwickGreaterMelbourneVictoria.html,Date of visit: December 2016, Berwick Indian @ The Courthouse ,South Pacific,Australia,Victoria,"Melbourne, Australia",racial,"On 27/12/16 evening, I went to Berwick Indian restaurant @ court house with my inlaws for a dinner. The food was great and I loved the authentic traditional indian decorations. I felt very proud to take my inlaws there.It reminded me of my country which I dearly miss. I am from northeast of India from a state called Arunachal Pradesh.However, I was sadly disappointed when the host of the restaurant who was an elderly lady appeared surprised when I introduced myself as an Indian. She commented on my Asian looks and gave a racial remark by saying that all the northeastern Indians look same as Chinese and Nepalese.I consider my self a proud Indian and it is very unfortunate that I have to face such racial discrimination from my own fellow Indian especially in a foreign land. I wish people could leave their discriminatory attitude back in India and not bring it to a multi cultured country like Australia."
Restaurant,https://www.tripadvisor.com/ShowUserReviewsg187075d781414r624459483ShahiMahalStrasbourgBasRhinGrandEst.html,Date of visit: August 2018, Shahi Mahal ,Europe,France,Grand Est,"Portland,OR",Differential treatment and inconsistency in the food.,"My family and I somehow stumbled upon Shahi Mahal while wandering around Strasbourg and thought we'd give it a try. I do agree with other reviewers that there is definitely racial profiling going on at this restaurant and as a result, you can be treated differently/poorly by the owner depending on what nationality you are. On our first visit, the owner was quite strange, almost rude but on our second visit, he seemed a little better. Fortunately the waiters seem nice but the food is inconsistent. On our first visit the food was amazing. So much so that we decided to ignore the owners rude behavior and go back for a second meal during our stay in Strasbourg. Unfortunately the second time we went, the food was lacking salt and spices even though we ordered the same exact things. We were thoroughly unimpressed. I'm not sure how many Indian restaurants are in Strasbourg. If there are no others then I would eat here again as the food is decent but if you have other choices then I'd probably recommend giving those a try. Also going back to the racial profiling thing again. The owner not only treats people of Indian decent and maybe others differently but he may also ask you to pay in cash. During our first visit, the owner asked my husband directly to pay in cash when he brought over the bill which we found to be extremely strange and rude. Does he think all Indian's try to evade paying taxes so we'd understand his request Needless to say, the following time we didn't even bother taking any cash and my husband paid with credit card. In hindsight, we probably shouldn't have paid with cash the first time around either."
Restaurant,https://www.tripadvisor.com/ShowUserReviewsg229462d793193r534272250IMaroncioFrascatiProvinceofRomeLazio.html,Date of visit: October 2017, I Maroncio ,Europe,Italy,Lazio,"Stuart, Florida",Racial discrimination at I Maroncio,"Recently my wife and I were guests at Hotel Roma Sud. We requested a recommendation for a nice restaurant nearby for dinner. We were recommended to try I Maroncio. I googled this restaurant and was impressed by the photos and history. Also, I noticed that they had the capacity to serve up to 200 patrons. We drove to the restaurant and arrived at about 8pm. The restaurant looked impressive and we noticed that there were only about a dozen patrons in the entire place. The head waiter greeted us and asked if we needed a table for two to which I replied in the affirmative. He led us to the entrance to the main dining room which we noticed was entirely empty. Upon approaching the dining area we were blocked by a man who seemed to be one of the owners or general manager. He stood in front of us and waved his hands repeating the English word ""full"" over and over again. He would not seat or serve us. The could only be one reason for this behavior, I am a white American and my wife is a black American. My wife was in tears as she had never experienced anything like this in all of our many trips to Europe and travels around the entire United States. I would highly recommend avoiding I Moroncio to any traveler that can appreciate the ugly racial misbehavior we experienced. I must add that we reported this incident to the owner and management of Hotel Roma Sud and they were so upset they called the restaurant and offered to treat us to dinner at the hotel."
Restaurant,https://www.tripadvisor.com/ShowUserReviewsg60827d10454995r506788474PigBeachBrooklynNewYork.html,Date of visit: July 2017, Pig Beach ,United States,New York NY,Brooklyn,unknown,Racial profiling incident,"Very disappointed at the racial profiling that took place this week by their management team. I was told by an employee that various playlist could be requested, based upon the managers preference on site. I then asked their events manager and operations manager about my the idea of choosing a playlist and the operations manager automatically responded by saying ""this is a family establishment"" despite the fact that I did not even allude to what type of music I wanted to listen to. As I escalated the issue, their operations and events manager misrepresented the truth to the owner and said I mentioned a ""heavier rap and hip hop"" playlist. Until this organization takes the steps to address how to identify candidates that would potentially be biases, implements the necessary disciplinary actions to avoid it and increases diversity in race, gender and experience within their management team, I will boycott this venue and suggest that you do the same. Any establishment that supports bigotry, racial biases, racial profiling is an organization that will fund and support other causes that are aligned with these perspectives and deserve to go out of business. I addressed this with one of their owners but they took the side of their employees and it is clear that they will not take the necessary next steps to correct this action. It was not communicated on how they will so it's clear that this isn't a big issue to them."
Restaurant,https://www.tripadvisor.com/ShowUserReviewsg659635d2360810r586920459MinamiJapaneseRestaurantPlayadenBossaIbizaBalearicIslands.html,Date of visit: June 2018, Minami  Japanese Restaurant ,Europe,Spain,Balearic Islands,"Houston, Texas",Horrible Customer Service. Racial Profiling  Threats,"On June 10, 2018, I am deeply regretful for my hospitality here at Minami Ibiza Japanese Restaurant located in the Ushuaia establishment. Not only was my visit unpleasant but the staff were completely rude. From racial profiling to threatening my friends. The manager at the restaurant called us Fing Monkeys in which my friends are indeed from an Indian background and yelled for us To get the Fing out The issue escalated when the staff begun to become rude and raise their voices at us for no apparent reason but us enjoying ourselves on holiday. We suggested the manager to talk to his rude employee, in which we came at a suggesting point. The manager then becomes hostile and yells at us and states the exact words of You Fing monkeys need to get the F out of my restaurant then the security comes and said to us If we were in the street, Id beat the F out of your A'ss's right now. Is this something we expect to hear as guests Or someone who is on holiday coming here as a place for comfort, dining experience and hospitality Your staff is completely despicable. To treat tourists the way they did that day. I never felt more at risk for my life the way they made me, and my friends felt before. The manager, staff and security of Minami restaurant is a huge disappointment to be established in association with Ushuaia. Please address this situation with your staff therefore this would prevent to happen in the future. Theres definitely no customer service skills or managerial skills and need immediate define training or a new profession. As a manager, instead of bashing a paying customer and guests of Ushuaia. I would suggest appointing an employee of professionalism and listen to their customers instead of racial profiling for the color of their skin and threatening us for being concerned for the type of employees we had to encounter during our visit. Huge disappointment for someone whos paid for nights there and will never return again. This was definitely not worth my money, my time, or my words but the world needed to know what type of establishment this has become during my visit.NOTE: Words have been adjusted due to TripAdvisor's profanity policy."
Restaurant,https://www.tripadvisor.com/ShowUserReviewsg54319d1139616r416927768BerrysSeafoodLittleRiverSouthCarolina.html,Date of visit: September 2016, Berry's Seafood ,United States,South Carolina SC,Little River,South Carolina,Hostile racial environment.,"I went to Berry's Seafood in North Myrtle Beach. After I placed my order,and as the person was weighing the order, that person, wearing pink, uttered a racial slur. She then went to the back with my order, into the cooking area, i presume. Suprise, suprise,suprise..someone in the cooking area repeated the same racial slur. Well, Berrys may be known for having great Seafood but the atmosphere, during my visit, was horrible. It appears that certain Berrys' employees have no fear using racial slurs in the presence of a customer. That is unacceptable. I will never go there again. And no, we didn't eat their food."
Restaurant,https://www.tripadvisor.com/ShowUserReviewsg147293d3530302r569572096PlayaBlancaRestaurantPuntaCanaLaAltagraciaProvinceDominicanRepublic.html,Date of visit: March 2018, Playa Blanca Restaurant ,Caribbean,Dominican Republic,La Altagracia Province,"Punta Cana, Dominican Republic","Bad service, racial issues, mediocre to bad food. 2 hours wait for a 4 yo for a burger.... ","29 March, Two hours waiting for a hamburger and a Ceviche for my family with two kids. At the end we had to bring the food with us since we couldn't wait anymore. Surprisingly the other guests around us was served in due time. I am not sure if the skin color has something to do with level of service, it sure seems like it anyways. The very slow food, and expensive, 1400peso, was hardly eatable. We also identified us as propertarios in Punta Cana, which we are. All in all, unfriendly  bad service  expensive  mediocre food  and eventual racial issues. We are going back since the beach are nice and we live just beside, but only for bottledu drinks, everything else is just a waste. Think twice before going here.Bad service  racial issues  slow food 2hrs for a burger  food hardly eat able burger and a Ceviche.  expensive without deliver any quality at all. "
Restaurant,https://www.tripadvisor.com/ShowUserReviewsg187443d3200604r655410067LaBrunildaSevilleProvinceofSevilleAndalucia.html,Date of visit: February 2019, La Brunilda ,Europe,Spain,Andalucia,unknown," !  !  !  ! Worst restaurant, lowest service, Disgusting racial discrimination, ordinary taste !!"," !  !  !  !      .Worst restaurant, lowest service, Disgusting racial discrimination, ordinary taste !!I had a very unpleasant experience at this restaurant.They ignored our request for olive pickles several times over the course of an hour. It was a little uncomfortable, but I could understand it. Trouble was time to calculate the meal,As a foreigner who is not familiar with the euro, we were a bit confusing about paying cash.Anyway we paid, They did not give us 3 euros change. So we asked for change. They gave us 3 euros for dozens of coins. and laughed.s.h.i.t!! Dozens of coins as photo !!! This is an obvious racial discrimination against Asians and is also rude to guests. It was a really disgusting experience in sevilla, in spain.         .      1   .       .   .   .  ..    .   3   ,    ,  ... . 3   . 100        ..,     .    ,   1000  500 ..100 1, 50 3, 10 50  ..;;   ...    .   ..    .  ."
